‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-15,-12,3,14,-9,-4,7,-16,-6,-11,-15,-11,
-14,-10,4,12,-9,-3,7,-16,-6,-11,-14,-10,
-14,-9,5,12,-9,-2,8,-16,-5,-10,-15,-11,
-14,-6,8,10,-11,1,8,-15,-5,-9,-14,-10,
-13,-4,9,9,-11,3,9,-14,-4,-8,-13,-10,
-12,-2,10,7,-11,4,11,-13,-3,-6,-12,-10,
-12,-1,11,7,-11,5,12,-12,-1,-5,-11,-10,
-11,1,12,5,-11,7,12,-11,0,-4,-10,-8,
-11,3,14,4,-12,9,12,-11,1,-3,-9,-8,
-10,6,16,2,-13,11,12,-10,1,-2,-9,-7,
-10,7,17,2,-13,12,13,-8,2,-1,-8,-7,
-10,7,17,2,-13,12,13,-8,2,-1,-7,-6,
-10,9,19,1,-14,14,14,-7,3,0,-7,-5,
-10,11,21,0,-15,16,14,-7,4,1,-6,-5,
-9,12,21,-1,-15,17,14,-7,5,1,-5,-5,
-8,14,22,-3,-15,18,14,-7,6,2,-4,-3,
-8,17,25,-4,-16,21,13,-8,7,3,-3,-2,
-8,20,28,-6,-18,24,12,-8,7,4,-2,-1,
-8,22,30,-7,-19,26,10,-10,6,5,-1,0,
-8,23,31,-7,-19,27,6,-11,5,5,0,1,
-7,25,32,-9,-19,29,3,-11,5,6,0,3,
-6,28,34,-11,-20,31,1,-11,5,6,1,3,
-5,31,36,-13,-20,34,-2,-12,6,6,2,4,
-4,32,36,-14,-20,34,-4,-13,6,6,3,5,
-4,32,36,-14,-20,34,-8,-15,5,6,3,5,
-4,32,36,-14,-20,34,-10,-17,5,7,3,5,
-3,32,35,-14,-19,34,-12,-17,6,8,4,6,
-3,31,34,-14,-18,33,-13,-17,6,9,4,7,
-3,31,34,-14,-18,33,-13,-17,5,9,4,6,
-2,32,34,-15,-18,33,-12,-17,5,8,4,6,
-2,31,33,-14,-17,32,-11,-17,5,8,4,6,
-2,30,32,-14,-17,31,-11,-18,4,8,3,5,
-3,29,32,-13,-17,31,-11,-18,4,8,3,5,
-4,28,32,-12,-18,30,-11,-19,3,7,4,6,
-4,26,30,-11,-17,28,-10,-19,2,7,5,7,
-4,24,28,-10,-16,26,-10,-19,1,5,6,8,
-4,21,25,-8,-14,23,-11,-21,0,4,4,6,
-5,17,22,-6,-13,20,-12,-22,-2,2,2,4,
-6,13,19,-3,-12,16,-12,-22,-3,1,1,2,
-7,10,17,-1,-12,14,-11,-22,-3,0,-1,1,
-9,6,15,2,-12,11,-11,-21,-5,-2,-2,-1,
-10,2,12,4,-11,7,-10,-21,-5,-3,-4,-2,
-11,-1,10,6,-10,5,-8,-21,-6,-4,-5,-4,
-12,-4,8,8,-10,2,-7,-20,-6,-6,-7,-6,
-12,-6,6,9,-9,0,-7,-21,-9,-8,-10,-7,
-14,-7,7,11,-10,0,-6,-22,-9,-9,-11,-10,
-15,-9,6,12,-10,-1,-5,-21,-9,-8,-12,-10,
-15,-10,5,13,-10,-2,-5,-21,-9,-9,-12,-10,
-17,-12,5,15,-11,-3,-5,-21,-9,-10,-13,-11,
-17,-13,4,15,-10,-4,-5,-21,-9,-11,-14,-12,
