‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-6,-5,1,6,-3,-2,5,-12,-13,-10,-15,-17,
-4,-6,-2,5,-1,-4,4,-12,-14,-9,-15,-17,
-4,-9,-5,7,1,-7,3,-13,-15,-9,-14,-16,
-4,-9,-5,7,1,-7,3,-12,-14,-9,-14,-15,
-3,-6,-3,5,0,-4,4,-12,-13,-10,-13,-14,
0,-3,-3,2,2,-3,5,-12,-13,-8,-12,-12,
0,-4,-4,2,2,-4,5,-12,-13,-8,-12,-12,
0,-6,-6,3,3,-6,5,-13,-13,-6,-14,-13,
-3,-8,-5,6,1,-6,6,-12,-12,-5,-12,-11,
-7,-10,-3,9,-2,-6,7,-12,-12,-5,-10,-10,
-6,-9,-3,8,-1,-6,5,-11,-13,-5,-10,-11,
-4,-9,-5,7,1,-7,4,-13,-15,-6,-12,-13,
-9,-12,-3,11,-3,-7,4,-14,-15,-7,-14,-15,
-16,-17,-1,17,-7,-9,4,-13,-13,-6,-14,-16,
-17,-17,0,17,-8,-8,4,-12,-12,-5,-13,-15,
-16,-17,-1,17,-7,-9,3,-12,-12,-5,-14,-17,
-12,-16,-4,14,-4,-10,2,-12,-13,-7,-18,-19,
-7,-14,-7,11,0,-10,2,-12,-13,-8,-18,-19,
-5,-9,-4,7,0,-6,3,-12,-13,-9,-17,-18,
-6,-9,-3,8,-1,-6,3,-12,-14,-9,-18,-19,
-7,-8,-1,8,-3,-4,4,-12,-13,-7,-16,-19,
-7,-9,-2,8,-2,-5,4,-12,-13,-7,-15,-17,
-5,-9,-4,7,0,-6,5,-11,-13,-8,-14,-15,
-2,-8,-6,5,2,-7,5,-10,-12,-7,-12,-15,
1,-9,-10,4,6,-9,5,-11,-12,-9,-14,-18,
-2,-9,-7,6,3,-8,5,-12,-13,-11,-16,-21,
-5,-12,-7,9,1,-9,5,-10,-13,-10,-14,-18,
-5,-12,-7,9,1,-9,3,-11,-13,-10,-14,-18,
-3,-11,-8,7,3,-9,3,-11,-14,-9,-14,-18,
-5,-14,-9,10,2,-11,4,-10,-13,-9,-13,-16,
-15,-17,-2,16,-6,-9,5,-10,-13,-9,-14,-16,
-19,-18,1,19,-10,-8,4,-11,-14,-10,-16,-18,
-15,-16,-1,16,-7,-8,4,-12,-15,-9,-17,-17,
-14,-14,0,14,-7,-7,6,-12,-14,-8,-16,-15,
-14,-12,2,13,-8,-5,5,-11,-14,-8,-16,-14,
-11,-11,0,11,-5,-5,5,-11,-14,-8,-15,-14,
-11,-13,-2,12,-4,-7,5,-11,-14,-9,-15,-15,
-13,-12,1,13,-7,-5,5,-11,-14,-9,-14,-16,
-16,-9,7,13,-11,-1,5,-9,-12,-8,-11,-13,
-17,-9,8,13,-12,0,4,-9,-11,-8,-10,-11,
-12,-8,4,10,-8,-2,5,-10,-11,-8,-11,-12,
-9,-9,0,9,-4,-4,6,-8,-10,-7,-10,-12,
-9,-9,0,9,-4,-4,6,-9,-12,-8,-11,-13,
-13,-11,2,12,-7,-4,4,-11,-14,-7,-13,-14,
-15,-13,2,14,-8,-5,4,-12,-13,-7,-13,-13,
-13,-13,0,13,-6,-6,5,-12,-13,-7,-12,-13,
-10,-14,-4,12,-3,-9,6,-12,-14,-8,-14,-14,
-8,-15,-7,12,0,-11,4,-13,-14,-10,-16,-16,
-9,-14,-5,12,-2,-9,4,-13,-15,-9,-17,-16,
-11,-13,-2,12,-4,-7,4,-12,-14,-8,-17,-15,
-10,-12,-2,11,-4,-7,3,-12,-14,-8,-17,-16,
-8,-13,-5,11,-1,-9,3,-13,-16,-8,-18,-17,
-10,-16,-6,13,-2,-11,3,-13,-15,-6,-18,-16,
-14,-16,-2,15,-6,-9,3,-13,-14,-6,-18,-16,
-17,-14,3,16,-10,-5,2,-14,-15,-8,-19,-18,
-14,-14,0,14,-7,-7,2,-14,-15,-9,-17,-17,
-14,-15,-1,15,-6,-8,4,-12,-13,-9,-16,-18,
-14,-17,-3,16,-5,-10,5,-11,-11,-7,-14,-17,
-19,-15,4,17,-11,-5,5,-10,-10,-4,-11,-14,
-17,-14,3,16,-10,-5,7,-9,-9,-4,-11,-13,
-13,-12,1,13,-7,-5,7,-9,-10,-4,-11,-14,
-9,-11,-2,10,-3,-6,9,-8,-9,-2,-11,-13,
-9,-15,-6,12,-1,-10,9,-8,-9,-2,-10,-11,
-12,-16,-4,14,-4,-10,8,-8,-10,-4,-11,-11,
-10,-11,-1,11,-4,-6,9,-6,-8,-3,-10,-10,
-8,-10,-2,9,-3,-6,11,-5,-6,-2,-9,-12,
-10,-12,-2,11,-4,-7,12,-5,-6,-1,-8,-11,
-9,-12,-3,11,-3,-7,11,-6,-6,-1,-9,-12,
-9,-11,-2,10,-3,-6,11,-6,-7,-1,-9,-12,
-12,-12,0,12,-6,-6,11,-5,-7,0,-8,-11,
-11,-12,-1,12,-5,-6,11,-4,-6,0,-8,-11,
-10,-12,-2,11,-4,-7,12,-3,-4,0,-7,-10,
-12,-14,-2,13,-5,-8,13,-1,-4,3,-6,-9,
-10,-12,-2,11,-4,-7,13,-3,-4,3,-5,-8,
-8,-12,-4,10,-2,-8,13,-2,-3,5,-4,-7,
-6,-11,-5,9,0,-8,15,-2,-2,5,-3,-7,
-6,-10,-4,8,-1,-7,15,-2,-2,5,-2,-7,
-6,-10,-4,8,-1,-7,17,0,0,6,0,-5,
-6,-13,-7,10,1,-10,17,1,1,6,0,-5,
-6,-11,-5,9,0,-8,14,0,0,5,-1,-5,
-2,-5,-3,4,1,-4,12,0,-1,5,0,-3,
2,-2,-4,0,3,-3,10,-1,-2,5,-2,-4,
1,-2,-3,1,2,-2,8,-1,-3,4,-3,-6,
-2,-4,-2,3,0,-3,6,-1,-3,4,-3,-5,
-4,-6,-2,5,-1,-4,5,-2,-3,6,-2,-3,
-4,-8,-4,6,0,-6,4,-5,-4,4,-3,-3,
-3,-10,-7,7,2,-8,1,-7,-6,2,-5,-5,
-5,-11,-6,8,1,-8,1,-9,-5,2,-4,-4,
-3,-10,-7,7,2,-8,0,-10,-7,1,-3,-4,
0,-7,-7,4,4,-7,-3,-14,-10,-1,-5,-6,
-2,-6,-4,4,1,-5,-5,-16,-11,-2,-5,-6,
-4,-6,-2,5,-1,-4,-4,-15,-10,0,-3,-5,
1,-4,-5,2,3,-4,-5,-14,-10,0,-4,-5,
5,-3,-8,-1,7,-5,-5,-13,-10,-1,-4,-6,
5,-3,-8,-1,7,-5,-3,-11,-9,0,-4,-6,
4,-2,-6,-1,5,-4,-2,-10,-8,0,-5,-5,
0,-5,-5,3,3,-5,0,-10,-8,1,-4,-4,
-2,-5,-3,4,1,-4,2,-7,-5,3,-3,-3,
-2,-5,-3,4,1,-4,4,-6,-3,5,-4,-3,
0,-5,-5,3,3,-5,5,-5,-2,5,-3,-2,
2,-7,-9,3,6,-8,5,-6,-3,4,-3,-4,
2,-10,-12,4,7,-11,5,-6,-5,3,-3,-5,
-1,-11,-10,6,5,-10,5,-5,-4,3,-2,-5,
-4,-11,-7,8,2,-9,6,-4,-4,3,-2,-4,
-3,-11,-8,7,3,-9,5,-5,-4,4,-2,-3,
0,-11,-11,6,6,-11,2,-7,-6,3,-4,-3,
0,-10,-10,5,5,-10,1,-8,-8,2,-3,-4,
-1,-10,-9,6,4,-9,0,-9,-9,0,-3,-4,
